Dataset,Classes,N Train,N test,length n,Type,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet,With Attention,Without Attention
ItalyPowerDemand,2,67,1029,24,Sensor Readings,0.95141,0.955,0.95,0.90865,0.9695,0.88338,0.94752,0.9621,0.96113,0.966,0.97,0.96,0.9728,0.9699
LargeKitchenAppliances,3,375,375,720,Sensor Readings,0.68267,0.795,0.795,0.76533,0.70133,0.528,0.85867,0.81067,0.84533,0.48,0.896,0.893,0.8373,0.912
Lighting2,2,60,61,637,Sensor Readings,0.55738,0.869,0.869,0.83607,0.823,0.7377,0.7377,0.88525,0.86885,0.721,0.803,0.754,0.8361,0.8197
Lighting7,7,70,73,319,Sensor Readings,0.71233,0.712,0.726,0.68493,0.8027,0.72603,0.72603,0.76712,0.80822,0.644,0.863,0.836,0.6712,0.9178
MALLAT,8,55,2345,1024,Synthetic,0.96546,0.914,0.934,0.93817,0.9543,0.96034,0.96418,0.93987,0.95394,0.936,0.98,0.979,0.8964,0.98
Meat,3,60,60,448,Sensor Readings,0.91667,0.933,0.933,0.9,0.73333,0.93333,0.85,0.93333,0.91667,0.933,0.967,1,0.9833,1
MedicalImages,10,381,760,99,Image Outline,0.74079,0.747,0.737,0.71842,0.7295,0.70526,0.66974,0.74211,0.75789,0.729,0.792,0.772,0.7842,0.8066
MiddlePhalanxOutlineAgeGroup,3,400,154,80,Image Outline,0.6039,0.519,0.5,0.565,0.78007,0.81443,0.79381,0.78351,0.80412,0.735,0.768,0.76,0.805,0.815
MiddlePhalanxOutlineCorrect,2,600,291,80,Image Outline,0.80756,0.766,0.698,0.77,0.57143,0.57792,0.64286,0.55844,0.63636,0.76,0.795,0.793,0.8266,0.8333
MiddlePhalanxTW,6,399,154,80,Image Outline,0.53896,0.506,0.506,0.526,0.50649,0.5974,0.51948,0.51299,0.57143,0.609,0.612,0.607,0.6241,0.6466
MoteStrain,2,20,1252,84,Sensor Readings,0.9353,0.866,0.835,0.87859,0.9129,0.90335,0.89696,0.88259,0.9369,0.869,0.95,0.895,0.9097,0.9569
NonInvasiveFatalECG_Thorax1,42,1800,1965,750,Sensor Readings,0.92875,0.811,0.79,0.83817,0.8692,0.84224,0.94962,0.8458,0.9313,0.942,0.961,0.948,0.9237,0.9657
NonInvasiveFatalECG_Thorax2,42,1800,1965,750,Sensor Readings,0.94148,0.88,0.865,0.90076,0.9114,0.86158,0.95115,0.91349,0.94555,0.943,0.955,0.951,0.9563,0.9593
OliveOil,4,30,30,570,Sensor Readings,0.93333,0.867,0.833,0.86667,0.44,0.83333,0.9,0.86667,0.9,0.4,0.833,0.867,0.9,0.933333
OSULeaf,6,200,242,427,Image Outline,0.89669,0.612,0.591,0.95455,0.8182,0.76033,0.96694,0.80579,0.96694,0.57,0.988,0.979,0.9958,0.9917
PhalangesOutlinesCorrect,2,1800,858,80,Image Outline,0.81702,0.761,0.728,0.77156,0.76457,0.82984,0.7634,0.77273,0.7704,0.83,0.826,0.825,0.8368,0.8392
Phoneme,39,214,1896,1024,Sensor Readings,0.32648,0.227,0.228,0.26477,0.21835,0.27637,0.32068,0.30485,0.34916,0.098,0.345,0.324,0.3544,0.3539
plane,7,105,105,144,Image Outline,1,1,1,1,1,1,1,1,1,0.981,1,1,1,1
ProximalPhalanxOutlineAgeGroup,3,400,205,80,Image Outline,0.84878,0.785,0.805,0.8488,0.8488,0.87285,0.88316,0.80756,0.86942,0.824,0.849,0.849,0.8927,0.8878
ProximalPhalanxOutlineCorrect,2,600,291,80,Image Outline,0.89691,0.79,0.784,0.83415,0.83415,0.84878,0.8439,0.80488,0.85366,0.887,0.9,0.918,0.9347,0.9318
ProximalPhalanxTW,6,400,205,80,Image Outline,0.80976,0.756,0.756,0.815,0.77561,0.80976,0.80488,0.76585,0.78049,0.797,0.81,0.807,0.84,0.829
RefrigerationDevices,3,375,375,720,Sensor Readings,0.53867,0.44,0.464,0.49867,0.51467,0.472,0.58133,0.43733,0.54667,0.371,0.533,0.528,0.5867,0.5947
ScreenType,3,375,375,720,Sensor Readings,0.54667,0.411,0.397,0.464,0.42933,0.50933,0.52,0.44533,0.54667,0.408,0.667,0.707,0.6507,0.7073
ShapeletSim,2,20,180,500,Synthetic,1,0.7,0.65,1,0.95,0.96111,0.95556,0.81667,0.96111,0.483,0.867,1,0.9611,1
ShapesAll,60,600,600,512,Image Outline,0.91833,0.802,0.768,0.90833,0.76833,0.185,0.84167,0.86667,0.89167,0.775,0.898,0.912,0.9017,0.915
SmallKitchenAppliances,3,375,375,720,Sensor Readings,0.78933,0.672,0.643,0.72533,0.664,0.672,0.792,0.696,0.776,0.389,0.803,0.797,0.78933,0.8133
SonyAIBORobot Surface,2,20,601,70,Sensor Readings,0.82363,0.696,0.725,0.63228,0.8974,0.79534,0.84359,0.70383,0.84526,0.727,0.968,0.985,0.9861,0.9967
SonyAIBORobot SurfaceII,2,27,953,65,Sensor Readings,0.93494,0.859,0.831,0.85939,0.9184,0.77754,0.93389,0.87828,0.95173,0.839,0.962,0.962,0.9748,0.9769
StarlightCurves,3,1000,8236,1024,Sensor Readings,0.97729,0.905,0.907,0.97778,0.9665,0.97705,0.97851,0.92606,0.9796,0.957,0.967,0.975,0.9771,0.9763
Strawberry,2,613,370,235,Sensor Readings,0.97568,0.946,0.941,0.976,0.91081,0.95405,0.96216,0.94595,0.95135,0.967,0.969,0.958,0.981,0.9864
SwedishLeaf,15,500,625,128,Image Outline,0.9664,0.846,0.792,0.9216,0.913,0.9152,0.928,0.9152,0.9552,0.893,0.966,0.958,0.9808,0.984
Symbols,6,25,995,398,Image Outline,0.96181,0.938,0.95,0.96683,0.9644,0.94573,0.88241,0.9598,0.96382,0.853,0.962,0.872,0.9809,0.9849
synthetic_control,6,300,300,60,Synthetic,0.99333,0.983,0.993,0.96667,0.9927,0.99333,0.98333,1,1,0.95,0.99,1,0.9867,1
ToeSegmentation1,2,40,228,277,Motion Sensors,0.94737,0.75,0.772,0.9386,0.93421,0.7807,0.96491,0.82895,0.97368,0.601,0.969,0.965,0.6537,0.9737
ToeSegmentation2,2,36,130,343,Motion Sensors,0.90769,0.908,0.838,0.96154,0.91538,0.8,0.90769,0.89231,0.91538,0.746,0.915,0.862,0.9307,0.923
Trace,4,100,100,275,Sensor Readings,1,0.99,1,1,1,0.98,1,0.99,1,0.82,1,1,1,1
Two_Patterns,4,1000,4000,128,Synthetic,0.98975,0.998,1,0.98068,0.997,0.86567,0.99737,0.99298,0.99298,0.886,0.897,1,0.9928,0.9973
TwoLeadECG,2,23,1139,82,Sensor Readings,0.99824,0.868,0.904,0.993,0.9974,0.97625,0.955,1,1,0.853,1,1,1,1
uWaveGestureLibrary_X,8,896,3582,315,Motion Sensors,0.8096,0.773,0.728,0.76214,0.7998,0.83082,0.8029,0.80542,0.82189,0.768,0.754,0.787,0.8026,0.8498
uWaveGestureLibrary_Y,8,896,3582,315,Motion Sensors,0.72473,0.699,0.634,0.68509,0.7129,0.73618,0.73032,0.72557,0.75851,0.703,0.725,0.668,0.7289,0.7629
uWaveGestureLibrary_Z,8,896,3582,315,Motion Sensors,0.76996,0.678,0.658,0.69486,0.7315,0.77247,0.74846,0.72362,0.75042,0.705,0.729,0.755,0.755,0.7993
UWaveGestureLibraryAll,8,896,3582,945,Motion Sensors,0.95031,0.966,0.892,0.93886,0.95338,0.9263,0.94221,0.96845,0.96427,0.954,0.826,0.868,0.9574,0.9606
wafer,2,1000,6174,152,Sensor Readings,1,0.995,0.98,0.99481,0.9962,0.99513,1,0.9974,0.99984,0.996,0.997,0.997,0.9985,1
Wine,2,57,54,234,Sensor Readings,0.85185,0.611,0.574,0.74074,0.5,0.61111,0.7963,0.57407,0.64815,0.796,0.889,0.796,0.9259,0.889
WordsSynonyms,25,267,638,270,Image Outline,0.72414,0.748,0.649,0.63793,0.6602,0.68809,0.57053,0.779,0.75705,0.594,0.58,0.632,0.6959,0.6991
Worms,5,181,77,900,Image Outline,0.80519,0.532,0.584,0.74,0.61039,0.68831,0.74026,0.66234,0.62338,0.343,0.669,0.619,0.7017,0.6851
WormsTwoClass,2,181,77,900,Image Outline,0.80519,0.584,0.623,0.792,0.72727,0.75325,0.83117,0.68831,0.80519,0.597,0.729,0.735,0.7791,0.8066
yoga,2,300,3000,426,Image Outline,0.909,0.844,0.836,0.91833,0.8499,0.81933,0.81767,0.879,0.87667,0.855,0.845,0.858,0.90466,0.91266
